trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseToRevenue,enterpriseToEbitda,profitMargins,operatingMargins,grossMargins,ebitdaMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,operatingCashflow,trailingEps,forwardEps,bookValue,revenuePerShare,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,marketCap,dividendYield,payoutRatio,ticker
16.27559,9.842857,2.2681882,0.18673575,,0.573,6.384,0.0113,0.07206,0.23427,0.08971,0.20066,0.10552,-0.057,-0.594,-0.602,13.084,7.33,0.331,14775000.0,55794000.0,13289250.0,-35617000.0,1.27,2.1,9.113,111.432,,33.72,15.0,186394576.0,,0.0,SDHC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDIG
,1.4083333,0.16981512,0.011209883,,0.039,-0.728,-0.02813,-49.60208,-0.01388,-0.05422,-0.48993,-0.13027,-0.999,,,49.422,0.97,0.603,581000.0,11705000.0,-3687250.0,-11243000.0,-19.47,2.4,19.904,752.978,0.616,43.9,2.43,5235890.0,,0.0,SDOT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDPI
68.085106,8.648648,0.69668204,1.5271411,,1.701,8.964,0.026010001,0.0767,0.27161,0.18975,0.011770001,0.0051700003,0.054,,,21.955,1.891,1.444,402000000.0,629000000.0,166750000.0,19000000.0,0.47,3.7,45.932,21.081,1.658,40.2,17.74,1995973504.0,,0.0,SDRL
58.51092,63.502377,7.822407,3.7707186,,3.527,41.406,0.06742,0.07951,0.44924998,0.08519,0.15684,0.04453,0.383,1.458,1.446,41.186,1.435,0.726,9902005248.0,4243763968.0,763986496.0,4569095168.0,2.29,2.11,17.129,35.688,1.58,199.3,99.5,79324749824.0,,0.0,SE
,36.333336,0.18243113,0.17228691,,0.63,27.51,-0.24080999,-0.16753,0.71454,0.02289,-0.62777,-0.01635,-0.269,,,120.788,0.672,0.527,145108000.0,405240992.0,7993000.0,-5609000.0,-28.6,0.21,41.824,98.068,0.96,100.0,7.04,110914000.0,,0.0,SEAT
10.7295685,,0.85167456,0.429951,,0.499,7.943,0.04044,0.033069998,0.07384,0.06284,0.084300004,0.02299,0.145,,,38.383,2.441,1.41,1244000000.0,1908000000.0,-165250000.0,680000000.0,410.16,,5167.279,10147.804,0.336,4800.0,2365.0,4221259264.0,0.2,0.0219,SEB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEDSA
,-12.04898,3.6648045,1.6887903,,1.61,-4.238,-0.53646,-0.14307,0.02438,-0.37982,-0.78094,-0.10722999,0.445,,,86.67,2.281,1.467,498579008.0,415806016.0,212921248.0,89437000.0,-9.63,-2.45,8.055,17.91,1.674,48.6,11.0,1765297536.0,,0.0,SEDG
15.516729,13.250793,5.1588187,1.1518078,,1.899,9.708,0.08523,0.154,0.30107,0.19564,0.40418,0.06982,0.005,1.75,1.782,358.599,1.288,0.613,282500000.0,4268400128.0,338800000.0,578600000.0,2.69,3.15,8.091,36.381,1.357,44.27,22.78,6140978176.0,1.92,0.2974,SEE
,,-0.34099242,0.11683795,,0.099,-0.148,-0.06647,-0.34102002,0.06899,-0.67334,,-0.26134002,-0.214,,,,0.427,0.06,2400000.0,32579000.0,-168657632.0,-14710000.0,-0.08,,-4.091,13.581,1.811,2.7,0.74,10945613.0,,0.0,SEED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEEL
,-1.2207793,0.38587847,6.4674826,,-4.281,0.9,0.0,-4.69449,0.50724,0.0,-0.2574,-0.1519,0.022,,,8.921,14.251,13.588,199235008.0,24249000.0,-26981376.0,-45098000.0,-1.36,-1.54,4.872,0.281,1.602,2.59,1.62,105917960.0,,0.0,SEER
14.935543,16.618853,4.143039,4.462649,,4.073,14.03,0.31094,0.2765,0.78761,0.29032,0.29283002,0.13726,0.077,0.092,0.06,1.088,5.727,5.489,824064000.0,26317000.0,397746112.0,676532992.0,5.43,4.88,19.575,17.874,0.982,93.96,64.66,10025992192.0,1.21,0.18049999,SEIC
31.1875,21.69565,1.205314,4.4433036,,5.113,13.782,0.14136,0.23273,0.62216,0.37098998,0.0379,0.02952,0.008,-0.6,-0.58,34.063,4.136,3.663,7457931.0,15987260.0,3717722.0,4715535.0,0.16,0.23,4.14,1.142,0.02,5.89,4.73,56577824.0,5.81,1.8125,SELF
,,1.2004,0.18684915,,0.789,-0.639,-1.00321,-1.02057,-0.23687,-1.23417,-0.92481005,-0.26423,4.376,,,348.856,1.071,0.552,117748000.0,159539008.0,20386124.0,2214000.0,-0.1,,0.5,3.198,-0.476,1.85,0.523,22464500.0,,0.0,SELX
